kmeans,wall_time,cpuconsumptiontime,cpu_eff,IObytesRead,IObytesReadRate,IOcharRead,timeStageOut,workDirSize,dbTime,maxrss,maxvmem
50,8771.666666666666,302.6666666666667,0.035142469,2891.4293333333335,432.69399999999996,1509.9683333333335,359.0,602.9708936666666,39.63666666666666,976.0906666666666,3231.4746666666665
51,1237.7368421052631,220.57894736842104,0.1808037121052631,1936.3587368421051,2787.3337368421053,976.8100526315787,57.94736842105263,602.5107437368421,11.93,820.803789473684,3130.5993684210525
52,746.5,235.0,0.31491805,1889.644,4210.7785,934.13575,41.5,613.686147,5.9375,1033.807,3240.771
53,562.0,219.42857142857142,0.39399711857142855,1352.0874285714287,4349.874000000001,1451.5022857142856,45.285714285714285,7.3845028571428575,6.880000000000001,827.6154285714285,3091.909714285714
54,2652.0,300.0,0.11312217,2036.38,990.619,1106.471,60.0,617.581857,584.37,826.936,3107.584
55,572.5555555555555,195.88888888888889,0.3459293566666667,2257.7364444444447,7374.944444444444,1520.847,34.77777777777778,7.53709511111111,8.524444444444445,822.7071111111111,3089.4044444444444
56,502.7142857142857,202.28571428571428,0.4035431757142857,1832.0274285714288,7608.40857142857,936.7494285714286,42.714285714285715,7.440091428571429,6.555714285714286,799.916,2205.810285714286
57,977.3333333333334,194.55555555555554,0.20564369444444444,1880.3231111111115,4435.473444444444,959.3479444444446,48.166666666666664,606.2784221666666,6.562222222222222,825.8726666666666,3132.0913333333333
58,879.6,167.2,0.19899892000000002,2227.7448,5899.582200000001,1222.9824,42.2,602.871587,16.796,822.152,3164.4704
59,2023.7894736842106,201.42105263157896,0.10395200631578945,2113.2482105263157,1693.5226315789473,1158.2207368421052,108.78947368421052,603.3947677894737,13.67421052631579,820.7981052631577,3114.1120000000005
60,993.4444444444445,240.88888888888889,0.2468035411111111,2182.4937777777777,5624.3820000000005,1507.1305555555552,46.888888888888886,606.9020261111112,7.3100000000000005,808.1844444444445,2815.5204444444444
61,1213.1304347826087,322.8695652173913,0.26906309434782605,2251.176869565218,3392.500565217392,1495.7719565217396,73.04347826086956,606.3541060434783,6.198695652173913,824.2600000000001,3128.3295652173906
62,1893.888888888889,187.66666666666666,0.10202988944444445,1819.44,1314.012,918.7356666666668,32.666666666666664,605.8829232222222,73.09222222222222,813.9693333333332,3121.188444444444
63,1613.0714285714287,226.14285714285714,0.1512866807857143,2213.1894285714284,2616.9405,1514.9884999999997,73.92857142857143,605.0393904285713,6.757857142857143,816.6902857142857,3067.5728571428576
64,439.5,149.5,0.339934485,2319.8199999999997,9636.221,1154.7635,26.5,7.432192,6.279999999999999,800.126,3087.592
65,504.8,146.8,0.295427707,1803.9503999999997,9670.8959,840.2776,45.8,7.7287424,5.970000000000001,806.6167999999999,2175.6936
66,654.5,142.5,0.217848355,2000.536,8294.8615,1022.835,29.0,595.386368,7.04,879.4939999999999,3285.15
67,1148.2972972972973,312.2432432432432,0.2732054083783785,1906.278702702703,3174.3665675675684,979.8595675675676,76.13513513513513,604.929859,7.27108108108108,818.3817297297301,3075.639675675676
68,4159.857142857143,161.71428571428572,0.04028795871428571,2548.201714285714,938.5661428571427,1529.475142857143,121.85714285714286,605.0861841428572,30.784285714285712,829.5605714285714,3152.145142857143
69,855.3636363636364,146.27272727272728,0.17767567454545455,1815.5858181818182,3840.280181818182,918.2223636363636,37.0,603.6912156363637,10.149090909090908,814.6621818181819,3013.4938181818184
70,2062.6666666666665,246.66666666666666,0.12257779,2125.32,6257.84,1538.9696666666666,34.333333333333336,19.899733333333334,6.38,821.4093333333334,3082.3253333333328
71,22263.0,259.0,0.011633652,3448.4,200.179,1712.332,1012.0,602.281938,127.09,845.304,3336.688
72,5648.0,199.5,0.0354792615,2327.016,717.684,1170.719,69.0,599.6378865,7.18,1014.474,3226.45
73,902.25,198.25,0.22092178750000002,1656.3245,5410.6275000000005,851.205625,43.25,600.5558858750001,8.908750000000001,797.5175,3046.216
74,574.0,177.75,0.3097877525,1783.58,6250.13125,827.66475,39.25,7.520256,8.545,776.345,2205.8720000000003
75,726.6666666666666,217.33333333333334,0.30039801666666666,2203.133333333333,4574.675333333334,1429.1970000000001,31.666666666666668,609.4380803333333,52.18000000000001,796.9333333333334,2195.8266666666664
76,576.0555555555555,227.33333333333334,0.39583954111111114,2097.048444444445,6701.280722222223,1073.7191666666668,38.0,7.403292444444444,6.255555555555555,808.6633333333334,3105.960888888889
77,904.3846153846154,216.23076923076923,0.2405635107692308,1827.3009230769235,3202.3769230769226,896.9699230769231,38.07692307692308,606.1767154615385,72.63846153846154,813.1603076923076,3127.073538461539
78,2298.5714285714284,176.14285714285714,0.08128218071428572,1317.116,806.9822857142857,830.9607142857142,26.571428571428573,601.2993594285714,90.49000000000001,844.8514285714285,3173.7885714285717
79,791.6521739130435,213.08695652173913,0.27487213086956525,1793.849565217391,5800.080608695652,885.0364782608694,39.17391304347826,605.1955959130435,6.504782608695652,814.2711304347827,2822.787826086956
80,763.4375,261.625,0.34466187374999996,1963.44175,4719.631,994.1471250000001,44.5,607.8736863125,7.2524999999999995,817.8385,3064.8724999999995
81,1127.3333333333333,216.4,0.19574443866666666,2107.4594666666662,3376.281533333333,1183.4894,67.26666666666667,603.3954545333333,11.634666666666666,822.4879999999999,3114.4269333333336
82,868.25,218.375,0.2530883975,2092.764,6536.794375,1396.335,42.875,601.2904942499999,7.8725000000000005,825.8850000000001,3144.6800000000003
83,1762.0,190.0,0.10783201,1323.936,5511.018,1326.836,42.0,27.189248,3.63,832.984,2175.444
84,671.0,154.2,0.242645866,1344.2696,4396.8022,832.845,31.8,9.316761600000001,35.794,826.9879999999999,2176.5288
85,858.5,169.875,0.19858404625,1750.8535,4426.008374999999,1513.821375,48.0,603.049738,7.21625,824.041,2981.0510000000004
86,833.75,195.75,0.2356501625,1748.315,6909.26825,943.5065000000001,38.5,599.46229375,6.9825,813.597,2176.088
87,991.5882352941177,241.52941176470588,0.24472350941176468,1819.8552941176474,3912.956235294118,889.6066470588237,54.8235294117647,604.2899619411764,7.626470588235295,817.0670588235296,3100.626588235294
88,15108.5,190.0,0.012827118500000002,2739.7079999999996,211.74599999999998,1477.6035,168.0,606.9819335,6.4399999999999995,859.26,3318.658
89,722.8333333333334,233.83333333333334,0.3263045533333333,1480.3553333333336,4342.890833333333,1530.6863333333333,35.0,605.1938301666668,13.103333333333333,827.158,3087.4426666666664
90,3025.2727272727275,216.54545454545453,0.07705727500000002,2476.112363636363,1325.011636363636,1551.7754545454545,96.9090909090909,609.7088485454544,9.761818181818184,824.1952727272727,3173.789090909091
91,963.6666666666666,216.0,0.22811548222222225,1374.366222222222,3582.464666666667,927.3792222222223,58.0,605.132294888889,13.565555555555555,834.8133333333333,3086.606222222222
92,605.0,224.0,0.37061957935483875,1892.7428387096777,6158.259709677416,942.9208387096772,40.61290322580645,7.438468129032256,6.936451612903226,806.1130322580645,3079.951741935483
93,620.6666666666666,236.55555555555554,0.3813389955555556,2123.988444444444,5862.960222222222,1509.9116666666669,41.666666666666664,7.370524444444445,6.699999999999999,815.0777777777778,2921.776
94,446.3333333333333,146.0,0.33114062499999997,1341.4293333333333,7147.445,716.21,21.833333333333332,7.555754666666668,6.098333333333333,836.9306666666666,3108.196
95,953.2857142857143,155.42857142857142,0.18234831285714284,1885.776571428571,8187.4464285714275,901.0925714285714,36.142857142857146,599.7668602857142,7.1585714285714275,796.3731428571427,3071.8925714285715
96,2177.5454545454545,244.72727272727272,0.11741415763636365,1913.932,5363.697636363636,924.7980909090908,48.09090909090909,607.3145686363636,6.599090909090908,804.453090909091,2844.1432727272727
97,1294.3333333333333,216.83333333333334,0.171648465,2087.059333333333,2579.0508333333332,929.0219999999998,38.0,602.2358236666668,94.93166666666667,752.0373333333333,3052.3860000000004
98,1538.4,283.7,0.18974012,1790.1263999999999,3136.5230999999994,956.9376,65.1,607.5292923,16.193,824.5060000000001,3057.0604
99,483.1875,212.1875,0.43932422312499997,1757.8365000000001,7317.24575,853.2175625,32.375,7.362816,6.335000000000001,832.3017500000001,3146.793
